fraud_id,transaction_id,customer_id,fraud_type,fraud_score,fraud_status,flagged_date,reviewed_by,resolution_notes
FRD0001,TXN000683,CUST0048,IDENTITY_THEFT,0.7201,CLEARED,2022-08-28,ANALYST01,Case 1 under review
FRD0002,TXN001848,CUST0041,UNUSUAL_PATTERN,0.6413,UNDER_REVIEW,2024-04-22,ANALYST02,Case 2 under review
FRD0003,TXN001569,CUST0158,UNUSUAL_PATTERN,0.8521,SUSPECTED,2024-08-11,ANALYST08,Case 3 under review
FRD0004,TXN000665,CUST0022,VELOCITY_BREACH,0.7754,CLEARED,2022-04-21,ANALYST10,Case 4 under review
FRD0005,TXN000220,CUST0004,IDENTITY_THEFT,0.822,SUSPECTED,2023-08-26,ANALYST02,Case 5 under review
FRD0006,TXN000088,CUST0035,CARD_NOT_PRESENT,0.5049,UNDER_REVIEW,2024-02-13,ANALYST05,Case 6 under review
FRD0007,TXN001011,CUST0145,VELOCITY_BREACH,0.6081,CLEARED,2022-10-14,ANALYST01,Case 7 under review
FRD0008,TXN001289,CUST0179,ACCOUNT_TAKEOVER,0.845,CONFIRMED,2023-01-09,ANALYST01,Case 8 under review
FRD0009,TXN001434,CUST0184,IDENTITY_THEFT,0.6741,CONFIRMED,2024-12-09,ANALYST04,Case 9 under review
FRD0010,TXN000634,CUST0115,UNUSUAL_PATTERN,0.5228,CLEARED,2022-12-25,ANALYST02,Case 10 under review
FRD0011,TXN001497,CUST0200,CARD_NOT_PRESENT,0.7714,CONFIRMED,2022-10-12,ANALYST04,Case 11 under review
FRD0012,TXN000057,CUST0158,IDENTITY_THEFT,0.9403,SUSPECTED,2023-05-31,ANALYST09,Case 12 under review
FRD0013,TXN001365,CUST0065,IDENTITY_THEFT,0.6731,SUSPECTED,2024-04-20,ANALYST06,Case 13 under review
FRD0014,TXN001229,CUST0126,VELOCITY_BREACH,0.6702,CONFIRMED,2024-10-24,ANALYST06,Case 14 under review
FRD0015,TXN000209,CUST0138,UNUSUAL_PATTERN,0.5353,CONFIRMED,2023-12-15,ANALYST07,Case 15 under review
FRD0016,TXN001822,CUST0095,UNUSUAL_PATTERN,0.7847,CONFIRMED,2022-02-19,ANALYST01,Case 16 under review
FRD0017,TXN000479,CUST0176,UNUSUAL_PATTERN,0.7856,CONFIRMED,2024-09-12,ANALYST02,Case 17 under review
FRD0018,TXN000205,CUST0144,VELOCITY_BREACH,0.6934,UNDER_REVIEW,2022-09-27,ANALYST08,Case 18 under review
FRD0019,TXN001948,CUST0200,IDENTITY_THEFT,0.522,SUSPECTED,2023-01-17,ANALYST08,Case 19 under review
FRD0020,TXN000171,CUST0131,VELOCITY_BREACH,0.6335,SUSPECTED,2022-04-11,ANALYST04,Case 20 under review
FRD0021,TXN000206,CUST0018,ACCOUNT_TAKEOVER,0.7851,CLEARED,2024-08-11,ANALYST05,Case 21 under review
FRD0022,TXN000948,CUST0048,VELOCITY_BREACH,0.8494,CLEARED,2023-03-19,ANALYST04,Case 22 under review
FRD0023,TXN001596,CUST0168,CARD_NOT_PRESENT,0.5014,UNDER_REVIEW,2022-01-22,ANALYST08,Case 23 under review
FRD0024,TXN001040,CUST0093,UNUSUAL_PATTERN,0.8794,SUSPECTED,2022-04-27,ANALYST06,Case 24 under review
FRD0025,TXN001928,CUST0136,IDENTITY_THEFT,0.504,SUSPECTED,2024-11-21,ANALYST06,Case 25 under review
FRD0026,TXN000795,CUST0150,CARD_NOT_PRESENT,0.5364,SUSPECTED,2022-09-04,ANALYST07,Case 26 under review
FRD0027,TXN000195,CUST0145,IDENTITY_THEFT,0.6276,UNDER_REVIEW,2024-03-04,ANALYST03,Case 27 under review
FRD0028,TXN001231,CUST0153,IDENTITY_THEFT,0.5529,CLEARED,2023-07-01,ANALYST03,Case 28 under review
FRD0029,TXN001407,CUST0034,VELOCITY_BREACH,0.5306,SUSPECTED,2023-04-22,ANALYST10,Case 29 under review
FRD0030,TXN000040,CUST0177,ACCOUNT_TAKEOVER,0.6094,SUSPECTED,2024-01-11,ANALYST05,Case 30 under review
