transaction_id,account_id,customer_id,transaction_date,amount,transaction_type,channel,category,description,is_debit
TXN000001,ACC00094,CUST0062,2024-11-12,2645.94,TRANSFER,MOBILE,ENTERTAINMENT,Transaction 1,True
TXN000002,ACC00118,CUST0044,2024-02-14,3855.23,DEPOSIT,ONLINE,RENT,Transaction 2,False
TXN000003,ACC00077,CUST0180,2022-07-17,1775.04,FEE,WIRE,SALARY,Transaction 3,True
TXN000004,ACC00048,CUST0107,2024-09-14,6594.27,FEE,WIRE,OTHER,Transaction 4,True
TXN000005,ACC00348,CUST0152,2024-06-02,5220.92,TRANSFER,ONLINE,TRANSFER,Transaction 5,False
TXN000006,ACC00118,CUST0044,2024-09-14,7895.77,PAYMENT,ATM,ENTERTAINMENT,Transaction 6,True
TXN000007,ACC00218,CUST0064,2022-10-02,2545.93,WITHDRAWAL,ONLINE,GROCERIES,Transaction 7,False
TXN000008,ACC00132,CUST0088,2023-01-23,55.69,DEPOSIT,WIRE,ENTERTAINMENT,Transaction 8,True
TXN000009,ACC00267,CUST0087,2022-01-15,3750.92,WITHDRAWAL,ATM,UTILITIES,Transaction 9,False
TXN000010,ACC00055,CUST0177,2022-11-13,4261.29,FEE,ATM,GROCERIES,Transaction 10,False
TXN000011,ACC00290,CUST0106,2024-01-19,6119.19,PAYMENT,BRANCH,UTILITIES,Transaction 11,False
TXN000012,ACC00092,CUST0151,2024-01-29,5591.38,PAYMENT,ATM,GROCERIES,Transaction 12,False
TXN000013,ACC00204,CUST0145,2022-10-10,8550.13,DEPOSIT,BRANCH,UTILITIES,Transaction 13,True
TXN000014,ACC00052,CUST0133,2023-03-16,5083.93,TRANSFER,WIRE,ENTERTAINMENT,Transaction 14,True
TXN000015,ACC00083,CUST0005,2024-03-07,9645.74,DEPOSIT,ONLINE,OTHER,Transaction 15,True
TXN000016,ACC00242,CUST0017,2024-06-10,882.32,TRANSFER,BRANCH,GROCERIES,Transaction 16,True
TXN000017,ACC00312,CUST0147,2022-03-19,7245.22,PAYMENT,WIRE,TRANSFER,Transaction 17,False
TXN000018,ACC00306,CUST0173,2022-04-28,9457.21,WITHDRAWAL,MOBILE,UTILITIES,Transaction 18,True
TXN000019,ACC00104,CUST0021,2024-11-27,2860.78,DEPOSIT,WIRE,ENTERTAINMENT,Transaction 19,True
TXN000020,ACC00315,CUST0089,2022-12-14,6740.57,TRANSFER,BRANCH,TRANSFER,Transaction 20,True
TXN000021,ACC00081,CUST0077,2022-06-27,9968.17,PAYMENT,ATM,TRANSFER,Transaction 21,False
TXN000022,ACC00208,CUST0179,2023-02-15,5177.91,DEPOSIT,ONLINE,ENTERTAINMENT,Transaction 22,False
TXN000023,ACC00287,CUST0130,2023-12-14,3475.4,TRANSFER,BRANCH,ENTERTAINMENT,Transaction 23,True
TXN000024,ACC00233,CUST0175,2024-04-07,5749.49,TRANSFER,BRANCH,UTILITIES,Transaction 24,True
TXN000025,ACC00287,CUST0130,2022-05-29,5032.19,TRANSFER,ONLINE,OTHER,Transaction 25,False
TXN000026,ACC00276,CUST0024,2023-05-28,6942.22,PAYMENT,WIRE,UTILITIES,Transaction 26,True
TXN000027,ACC00174,CUST0101,2024-07-28,6816.27,FEE,ONLINE,UTILITIES,Transaction 27,True
TXN000028,ACC00133,CUST0116,2022-05-19,3827.35,WITHDRAWAL,BRANCH,OTHER,Transaction 28,False
TXN000029,ACC00212,CUST0019,2023-12-25,5165.53,DEPOSIT,ATM,RENT,Transaction 29,False
TXN000030,ACC00048,CUST0107,2024-03-28,6737.31,TRANSFER,ONLINE,ENTERTAINMENT,Transaction 30,True
TXN000031,ACC00244,CUST0119,2023-10-05,3536.03,FEE,ATM,RENT,Transaction 31,True
TXN000032,ACC00256,CUST0121,2023-02-13,2349.38,WITHDRAWAL,ATM,RENT,Transaction 32,True
TXN000033,ACC00104,CUST0021,2023-05-27,8363.51,TRANSFER,BRANCH,OTHER,Transaction 33,True
TXN000034,ACC00062,CUST0186,2022-06-10,6758.45,PAYMENT,WIRE,SALARY,Transaction 34,True
TXN000035,ACC00247,CUST0069,2024-01-31,6207.05,PAYMENT,WIRE,OTHER,Transaction 35,False
TXN000036,ACC00252,CUST0196,2023-01-10,9843.96,FEE,ATM,UTILITIES,Transaction 36,True
TXN000037,ACC00296,CUST0116,2022-09-20,542.43,PAYMENT,MOBILE,ENTERTAINMENT,Transaction 37,True
TXN000038,ACC00258,CUST0076,2023-12-13,3937.78,WITHDRAWAL,MOBILE,SALARY,Transaction 38,False
TXN000039,ACC00162,CUST0059,2022-01-18,119.19,WITHDRAWAL,MOBILE,ENTERTAINMENT,Transaction 39,True
TXN000040,ACC00167,CUST0177,2024-01-11,6128.17,TRANSFER,BRANCH,ENTERTAINMENT,Transaction 40,False
TXN000041,ACC00122,CUST0155,2023-07-06,4713.98,FEE,ATM,GROCERIES,Transaction 41,True
TXN000042,ACC00256,CUST0121,2024-05-18,2106.11,TRANSFER,ATM,OTHER,Transaction 42,False
TXN000043,ACC00144,CUST0107,2024-07-12,1799.71,WITHDRAWAL,WIRE,TRANSFER,Transaction 43,True
TXN000044,ACC00052,CUST0133,2023-07-07,8041.07,FEE,MOBILE,OTHER,Transaction 44,False
TXN000045,ACC00101,CUST0171,2022-10-26,8000.57,WITHDRAWAL,MOBILE,OTHER,Transaction 45,True
TXN000046,ACC00091,CUST0049,2024-05-13,4996.48,FEE,WIRE,TRANSFER,Transaction 46,False
TXN000047,ACC00250,CUST0002,2023-09-07,2510.49,FEE,ONLINE,UTILITIES,Transaction 47,True
